source	target	relation
drugbank:DB00818	HGNC:13700	-1
drugbank:DB00139	HGNC:232	-1
drugbank:DB01142	HGNC:11152	1
drugbank:DB04846	HGNC:9080	-1
drugbank:DB09238	HGNC:19060	-1
drugbank:DB00934	HGNC:285	1
drugbank:DB00935	HGNC:6834	1
drugbank:DB00241	HGNC:19664	1
drugbank:DB01001	HGNC:1725	1
drugbank:DB00842	HGNC:2545	1
drugbank:DB08995	UMLS:C0175702	1
drugbank:DB00714	HGNC:14774	-1
drugbank:DB00489	HGNC:19592	1
drugbank:DB09068	HGNC:19988	-1
drugbank:DB00508	HGNC:20637	-1
drugbank:DB00363	HGNC:1674	-1
drugbank:DB01156	HGNC:26442	-1
drugbank:DB00285	HGNC:6714	-1
drugbank:DB01175	HGNC:929	-1
drugbank:DB01409	HGNC:3586	-1
drugbank:DB01209	HGNC:8980	-1
drugbank:DB01098	HGNC:4396	1
drugbank:DB00321	HGNC:903	1
drugbank:DB00211	HGNC:8979	-1
drugbank:DB01069	HGNC:25716	-1
drugbank:DB13746	HGNC:15814	-1
drugbank:DB11156	HGNC:1952	1
drugbank:DB00988	HGNC:6872	-1
drugbank:DB00925	HGNC:23168	-1
drugbank:DB12010	HGNC:593	-1
drugbank:DB00555	HGNC:13352	1
drugbank:DB00248	HGNC:282	-1
drugbank:DB01267	HGNC:4388	-1
drugbank:DB09016	HGNC:283	1
drugbank:DB01577	HGNC:6135	-1
drugbank:DB11986	HGNC:5173	1
drugbank:DB01365	HGNC:6375	1
drugbank:DB06694	HGNC:14742	-1
drugbank:DB00483	UMLS:C0085580	-1
drugbank:DB00421	HGNC:174	-1
drugbank:DB01396	HGNC:282	1
drugbank:DB00795	HGNC:8775	-1
drugbank:DB13961	HGNC:6554	-1
drugbank:DB00246	HGNC:7794	-1
drugbank:DB01136	UMLS:C1832399	-1
drugbank:DB04855	HGNC:15087	-1
drugbank:DB11994	HGNC:9882	-1
drugbank:DB09167	UMLS:C0950121	-1
drugbank:DB00312	UMLS:C1282974	1
drugbank:DB01589	UMLS:C0004352	1
drugbank:DB11587	HGNC:28062	-1
drugbank:DB00543	HGNC:4551	-1
drugbank:DB00656	HGNC:9066	1
drugbank:DB00041	HGNC:8507	1
drugbank:DB00599	HGNC:1611	-1
drugbank:DB00028	HGNC:2910	-1
drugbank:DB06216	HGNC:8638	-1
drugbank:DB00424	HGNC:6190	-1
drugbank:DB12010	HGNC:1445	-1
drugbank:DB00540	HGNC:27972	-1
drugbank:DB06702	HGNC:14131	-1
drugbank:DB01404	HGNC:6735	-1
drugbank:DB06616	HGNC:9055	1
